horizon_days,model,MAE_mean_over_series,RMSE_mean_over_series
7,DeepAR,16.451111435890198,18.771963000297546
7,EnsembleMean,12.934033632278442,15.358320116996765
7,PatchTST,7.878322601318359,9.381087899208069
7,TFT,17.67792010307312,21.133175015449524
14,DeepAR,20.45123600959778,23.195116937160492
14,EnsembleMean,15.637759268283844,18.303027987480164
14,PatchTST,10.561429500579834,12.671166896820068
14,TFT,20.00662648677826,22.93478834629059
28,DeepAR,27.64683073759079,31.206619143486023
28,EnsembleMean,21.79004979133606,25.324524521827698
28,PatchTST,17.24395000934601,21.65464448928833
28,TFT,23.455694556236267,26.834163427352905
